"","School","Enrollment","Year","Type"
"242","Porter And Chester Institute",326,"1213","Proprietary"
"243","Porter And Chester Institute",2822,"1213","Proprietary"
"244","Post University",5808,"1213","Proprietary"
"245","Quinebaug Valley Community College",1178,"1213","Public"
"246","Quinnipiac University",8553,"1213","Private"
"247","Rensselaer Hartford Graduate Center Inc",140,"1213","Private"
"249","Ridley-Lowell Business & Technical Institute",317,"1213","Proprietary"
"250","Ridley-Lowell Business & Technical Institute",280,"1213","Proprietary"
"251","Sacred Heart University",5945,"1213","Private"
"252","Southern Connecticut State University",8708,"1213","Public"
"253","St Vincent's College",530,"1213","Private"
"254","Stone Academy",283,"1213","Proprietary"
"255","Stone Academy",404,"1213","Proprietary"
"256","Stone Academy",224,"1213","Proprietary"
"257","Three Rivers Community College",2897,"1213","Public"
"258","Trinity College",2356,"1213","Private"
"259","Tunxis Community College",2787,"1213","Public"
"260","University Of Bridgeport",3979,"1213","Private"
"261","University Of Connecticut",23517,"1213","Public"
"262","University Of Connecticut",657,"1213","Public"
"263","University Of Connecticut",1140,"1213","Public"
"264","University Of Connecticut",2250,"1213","Public"
"265","University Of Hartford",6581,"1213","Private"
"266","University Of New Haven",6205,"1213","Private"
"267","University Of Phoenix-Connecticut",28,"1213","Proprietary"
"268","University Of Saint Joseph",1943,"1213","Private"
"269","Vinal Technical High School",57,"1213","Public"
"270","W F Kaynor Technical High School",53,"1213","Public"
"271","Wesleyan University",3310,"1213","Private"
"272","Western Connecticut State University",5389,"1213","Public"
"273","Windham Memorial Hospital-Radiologic Technology Program",20,"1213","Private"
"274","Windham Technical High School",16,"1213","Public"
"275","Yale University",13550,"1213","Private"
"276","Yale-New Haven Hospital Dietetic Internship",12,"1213","Private"
"277","Academy Di Capelli-School Of Cosmetology",80,"1314","Proprietary"
"278","Ace Cosmetology And Barber Training Center",13,"1314","Proprietary"
"279","Albert I Prince Technical High School",106,"1314","Public"
"280","Albertus Magnus College",1637,"1314","Private"
"281","Asnuntuck Community College",1068,"1314","Public"
"282","Belle Academy Of Cosmetology",5,"1314","Proprietary"
"283","Branford Academy Of Hair And Cosmetology",79,"1314","Proprietary"
"284","Branford Hall Career Institute",537,"1314","Proprietary"
"285","Branford Hall Career Institute",643,"1314","Proprietary"
"286","Branford Hall Career Institute",451,"1314","Proprietary"
"287","Bridgeport Hospital School Of Nursing",155,"1314","Private"
"288","Bristol Technical Education Center",46,"1314","Public"
"289","Bullard-Havens Technical High School",16,"1314","Public"
"290","Capital Community College",2407,"1314","Public"
"291","Central Connecticut State University",9854,"1314","Public"
"292","Charter Oak State College",906,"1314","Public"
"293","Connecticut Center For Massage Therapy",103,"1314","Proprietary"
"294","Connecticut Center For Massage Therapy",246,"1314","Proprietary"
"295","Connecticut Center For Massage Therapy",275,"1314","Proprietary"
"296","Connecticut College",2032,"1314","Private"
"297","Connecticut Institute Of Hair Design",44,"1314","Proprietary"
"298","Eastern Connecticut State University",4911,"1314","Public"
"299","Eli Whitney Technical High School",38,"1314","Public"
"300","European Academy Of Cosmetology And Hairdressing",38,"1314","Proprietary"
"301","Fairfield University",4676,"1314","Private"
"302","Fox Institute Of Business-West Hartford",396,"1314","Proprietary"
"303","Gateway Community College",4892,"1314","Public"
"304","Goodwin College",3111,"1314","Private"
"305","Hartford Seminary",79,"1314","Private"
"306","Holy Apostles College And Seminary",266,"1314","Private"
"307","Housatonic Community College",3379,"1314","Public"
"308","Howell Cheney Technical High School",73,"1314","Public"
"309","Industrial Management Training Institute",95,"1314","Proprietary"
"310","International Institute Of Cosmetology",143,"1314","Proprietary"
"311","Lincoln College Of New England-Southington",594,"1314","Proprietary"
"312","Lincoln Technical Institute",906,"1314","Proprietary"
"313","Lincoln Technical Institute",396,"1314","Proprietary"
"314","Lincoln Technical Institute",366,"1314","Proprietary"
"315","Lincoln Technical Institute",586,"1314","Proprietary"
"316","Lyme Academy College Of Fine Arts",69,"1314","Private"
"317","Manchester Community College",4544,"1314","Public"
"318","Marinello Schools Of Beauty",184,"1314","Proprietary"
"319","Marinello Schools Of Beauty",618,"1314","Proprietary"
"320","Marinello Schools Of Beauty",342,"1314","Proprietary"
"321","Middlesex Community College",1848,"1314","Public"
"322","Mitchell College",778,"1314","Private"
"323","Naugatuck Valley Community College",4405,"1314","Public"
"324","New England Tractor Trailer Training School Of Connecticut",224,"1314","Proprietary"
"325","New England Tractor Trailer Training School Of Connecticut",365,"1314","Proprietary"
"326","Northwestern Connecticut Community College",822,"1314","Public"
"327","Norwalk Community College",3975,"1314","Public"
"328","Norwich Technical High School",50,"1314","Public"
"329","Oxford Academy Of Hair Design Inc",117,"1314","Proprietary"
"330","Paier College Of Art Inc",131,"1314","Proprietary"
"331","Paul Mitchell The School",138,"1314","Proprietary"
"332","Paul Mitchell The School",168,"1314","Proprietary"
"333","Platt Technical High School",16,"1314","Public"
"334","Porter And Chester Institute",364,"1314","Proprietary"
"335","Porter And Chester Institute",3152,"1314","Proprietary"
"336","Post University",7146,"1314","Proprietary"
"337","Quinebaug Valley Community College",1072,"1314","Public"
"338","Quinnipiac University",8873,"1314","Private"
"339","Rensselaer Hartford Graduate Center Inc",117,"1314","Private"
"340","Ricci's Academy Of Cosmetology",79,"1314","Proprietary"
"341","Ridley-Lowell Business & Technical Institute",249,"1314","Proprietary"
"342","Ridley-Lowell Business & Technical Institute",267,"1314","Proprietary"
"343","Sacred Heart University",6519,"1314","Private"
"344","Southern Connecticut State University",8836,"1314","Public"
"345","St Vincent's College",490,"1314","Private"
"346","Stone Academy",312,"1314","Proprietary"
"347","Stone Academy",384,"1314","Proprietary"
"348","Stone Academy",204,"1314","Proprietary"
"349","Three Rivers Community College",2771,"1314","Public"
