"","State","Year","Private","Proprietary","Public"
"235","RI",1011,61.5049,8.4054,30.0896
"236","RI",1112,63.6853,5.038,31.2767
"237","RI",1213,61.8947,4.7535,33.3517
"238","RI",1314,63.7615,1.8383,34.4001
"239","RI",1415,63.7915,1.9488,34.2598
"240","RI",1516,62.5031,1.6289,35.868
"241","SC",1011,19.2383,4.5955,76.1662
"242","SC",1112,19.0144,4.0992,76.8864
"243","SC",1213,18.9669,3.696,77.3371
"244","SC",1314,19.1176,3.2646,77.6178
"245","SC",1415,19.9244,3.171,76.9046
"246","SC",1516,19.8232,2.6198,77.557
"247","SD",1011,11.3044,30.9991,57.6965
"248","SD",1112,11.3466,28.9234,59.73
"249","SD",1213,11.1859,31.1541,57.6601
"250","SD",1314,11.7616,30.145,58.0934
"251","SD",1415,10.1972,27.7878,62.015
"252","SD",1516,12.0387,17.3666,70.5947
"253","TN",1011,31.5576,12.5493,55.8931
"254","TN",1112,32.7198,10.3527,56.9275
"255","TN",1213,34.2055,11.0147,54.7798
"256","TN",1314,35.4972,10.7075,53.7953
"257","TN",1415,36.7902,10.0105,53.1994
"258","TN",1516,35.1531,7.0066,57.8403
"259","TX",1011,15.0063,13.1295,71.8641
"260","TX",1112,15.6249,10.4296,73.9454
"261","TX",1213,16.0074,8.9535,75.0392
"262","TX",1314,16.5717,8.674,74.7543
"263","TX",1415,16.5004,8.6147,74.8849
"264","TX",1516,15.6467,6.7421,77.6112
"265","UT",1011,30.2558,19.4559,50.2883
"266","UT",1112,32.2773,17.0989,50.6237
"267","UT",1213,32.9669,17.8945,49.1386
"268","UT",1314,32.1089,18.5742,49.3169
"269","UT",1415,36.0563,16.8681,47.0756
"270","UT",1516,34.3836,13.5779,52.0385
"271","VA",1011,34.5886,14.2298,51.1816
"272","VA",1112,37.9849,10.7228,51.2924
"273","VA",1213,38.905,9.9472,51.1478
"274","VA",1314,40.0366,9.4503,50.5132
"275","VA",1415,39.8641,9.3597,50.7762
"276","VA",1516,37.5742,6.5575,55.8683
"277","VT",1011,48.933,1.995,49.072
"278","VT",1112,48.701,1.7287,49.5703
"279","VT",1213,49.0096,1.6987,49.2917
"280","VT",1314,50.3516,1.5176,48.1308
"281","VT",1415,51.8932,1.4125,46.6943
"282","VT",1516,50.0175,0.9419,49.0406
"283","WA",1011,23.8356,9.6333,66.5311
"284","WA",1112,24.2846,7.9076,67.8078
"285","WA",1213,23.6614,7.7425,68.5961
"286","WA",1314,26.666,6.3952,66.9388
"287","WA",1415,26.0864,6.1345,67.7792
"288","WA",1516,24.3735,5.0241,70.6024
"289","WI",1011,25.7033,7.3979,66.8988
"290","WI",1112,25.6367,6.6796,67.6837
"291","WI",1213,25.6988,6.5702,67.731
"292","WI",1314,26.5377,6.577,66.8853
"293","WI",1415,26.7824,6.7615,66.4561
"294","WI",1516,26.9499,4.9023,68.1478
"295","WV",1011,14.8677,21.6103,63.522
"296","WV",1112,12.2912,26.0198,61.689
"297","WV",1213,8.4928,30.8794,60.6278
"298","WV",1314,8.6232,32.1224,59.2544
"299","WV",1415,8.8275,30.3623,60.8102
"300","WV",1516,8.91,25.7324,65.3576
"301","WY",1011,NA,44.784,55.216
"302","WY",1112,NA,43.505,56.495
"303","WY",1213,NA,36.7426,63.2574
"304","WY",1314,25.8444,2.4103,71.7453
"305","WY",1415,20.9186,0.8444,78.2371
"306","WY",1516,9.9336,0.6825,89.384
