State,School.Type,Year,Sum.Type.loan,Sum.Type.grant,Sum.Type.campus,Total.Disbursement
NE,Private,1112,311304042,29809151.08,10129007,351242200.1
NE,Proprietary,1112,19877445,7178050.58,226578,27282073.58
NE,Public,1112,345275590,119727808.5,9412773,474416171.5
NH,Private,1112,280662774,21756963.85,11611926,314031663.9
NH,Proprietary,1112,28783472,11580071.88,1315013,41678556.88
NH,Public,1112,253870770,43275408.53,12488355,309634533.5
NJ,Private,1112,410162107,74737692.01,22307163,507206962
NJ,Proprietary,1112,230264488,111213712.8,3402336,344880536.8
NJ,Public,1112,1116858570,482469337.2,32563739,1631891646
NM,Private,1112,12936823,1594600,644945,15176368
NM,Proprietary,1112,23541487,7986240.86,641360,32169087.86
NM,Public,1112,349855366,223991915.7,15372563,589219844.7
NV,Private,1112,52394347,2152990.88,346136,54893473.88
NV,Proprietary,1112,34181707,16116742.33,407602,50706051.33
NV,Public,1112,251696805,118310383.8,5966359,375973547.8
NY,Private,1112,4569981723,487234938,199148677,5256365338
NY,Proprietary,1112,635019959,315361737.5,15485292,965866988.5
NY,Public,1112,1861297611,1212379751,74708905,3148386267
OH,Private,1112,1255792516,170696861.3,51952346,1478441723
OH,Proprietary,1112,255807023,104378783.6,5039264,365225070.6
OH,Public,1112,2565468898,847759348.8,60094996,3473323243
OK,Private,1112,179317077,29799935.03,9387640,218504652
OK,Proprietary,1112,72890748,35277487.67,972280,109140515.7
OK,Public,1112,680886490,301863076.7,17557174,1000306741
OR,Private,1112,389872987,32361954.21,14976540,437211481.2
OR,Proprietary,1112,117181389,46075075.59,1675388,164931852.6
OR,Public,1112,1054335411,357718453.1,26274991,1438328855
PA,Private,1112,2993632731,273022560,110099771,3376755062
PA,Proprietary,1112,610709721,228041565.5,13164345,851915631.5
PA,Public,1112,2004504786,507199524.2,60811429,2572515739
RI,Private,1112,352658827,48180130.95,29613680,430452638
RI,Proprietary,1112,28002130,5752789.62,297093,34052012.62
RI,Public,1112,151389062,53800653.04,6211453,211401168
SC,Private,1112,252385923,71952764.5,11260139,335598826.5
SC,Proprietary,1112,56119077,15687887.09,542921,72349885.09
SC,Public,1112,968124702,367925607.7,20974581,1357024891
SD,Private,1112,41267845,8717827.82,2890155,52875827.82
SD,Proprietary,1112,99908976,34000525.73,874587,134784088.7
SD,Public,1112,211836850,56892656.18,9614645,278344151.2
TN,Private,1112,683318817,103795369.1,27670820,814785006.1
TN,Proprietary,1112,174801089,80008104.43,2992784,257801977.4
TN,Public,1112,946836443,446983101.7,23782883,1417602428
TX,Private,1112,1022513936,184813475.7,38274560,1245601972
TX,Proprietary,1112,545584790,276949829.5,8905538,831440157.5
TX,Public,1112,3848577680,1958620303,87651352,5894849335
UT,Private,1112,331253923,111436288.6,1119898,443810109.6
UT,Proprietary,1112,168970837,64198131.4,1939751,235108719.4
UT,Public,1112,438088780,241028921.3,16952881,696070582.3
VA,Private,1112,1172445647,159952922.6,22413971,1354812541
VA,Proprietary,1112,257500420,119017308.5,5932493,382450221.5
VA,Public,1112,1357434414,438879318.3,33140063,1829453795
VT,Private,1112,174019809,13057370.16,11573116,198650295.2
VT,Proprietary,1112,5743752,1160485.24,147272,7051509.24
VT,Public,1112,163741392,29384918.57,9069858,202196168.6
WA,Private,1112,422260438,38275786.19,21980443,482516667.2
WA,Proprietary,1112,107968651,47792743.39,1356602,157117996.4
WA,Public,1112,906727209,407176481.4,33386677,1347290367
WI,Private,1112,475413368,60442228.48,22051589,557907185.5
WI,Proprietary,1112,106107989,37433555.37,1820901,145362445.4
WI,Public,1112,1080913035,339993463,52029465,1472935963
WV,Private,1112,108375973,21228180.41,4313319,133917472.4
WV,Proprietary,1112,203908789,77963163.64,1625375,283497327.6
WV,Public,1112,511717814,148885128.7,11525001,672127943.7
WY,Proprietary,1112,57508069,15117854,2290814,74916737
WY,Public,1112,62693752,31535588.73,3056342,97285682.73
