"","State","School.Type","Year","Sum.Type.loan","Sum.Type.grant","Total.Disbursement"
"343","MA","Private","1011",2109502560,175706730.11,2285209290.11
"344","MA","Private","1112",2129758637,157641176.89,2287399813.89
"345","MA","Private","1213",2024473770,160451089.91,2184924859.91
"346","MA","Private","1314",2027012837,163524692.96,2190537529.96
"347","MA","Private","1415",2035466992,163627950.2,2199094942.2
"348","MA","Private","1516",1728161693,155119503.52,1883281196.52
"349","MA","Proprietary","1314",76236159,32677218.26,108913377.26
"350","MA","Proprietary","1415",65345468,28037623.25,93383091.25
"351","MA","Proprietary","1516",33333512,18979375.03,52312887.03
"352","MA","Proprietary","1011",114582978,44529978.32,159112956.32
"353","MA","Proprietary","1112",102503966,40503007.06,143006973.06
"354","MA","Proprietary","1213",81346146,34152194.26,115498340.26
"355","MA","Public","1314",683282090,309211832.18,992493922.18
"356","MA","Public","1415",679247587,309276036.17,988523623.17
"357","MA","Public","1516",645072349,278921429.29,923993778.29
"358","MA","Public","1011",629384719,287152927.07,916537646.07
"359","MA","Public","1112",667045628,291001567.71,958047195.71
"360","MA","Public","1213",675665916,299734576.08,975400492.08
"361","MD","Private","1011",341605109,36616268.55,378221377.55
"362","MD","Private","1112",358941636,33963221.05,392904857.05
"363","MD","Private","1213",343178509,31644062.01,374822571.01
"364","MD","Private","1314",346388456,31483032.29,377871488.29
"365","MD","Private","1415",350839470,28627354.46,379466824.46
"366","MD","Private","1516",302914237,25019740.94,327933977.94
"367","MD","Proprietary","1314",80276894,43434017.95,123710911.95
"368","MD","Proprietary","1415",74070210,38861290.11,112931500.11
"369","MD","Proprietary","1516",37366033,26878361.63,64244394.63
"370","MD","Proprietary","1011",120205159,66742907.8,186948066.8
"371","MD","Proprietary","1112",110270419,59586309.63,169856728.63
"372","MD","Proprietary","1213",86737730,48332737.1,135070467.1
"373","MD","Public","1314",1031063179,331101526.61,1362164705.61
"374","MD","Public","1415",1033268850,335832085.37,1369100935.37
"375","MD","Public","1516",957833623,299614648.7,1257448271.7
"376","MD","Public","1011",1057673428,335760778.91,1393434206.91
"377","MD","Public","1112",1100873003,340353235.6,1441226238.6
"378","MD","Public","1213",1043124709,333823296.08,1376948005.08
"379","ME","Private","1011",153237429,18407422.63,171644851.63
"380","ME","Private","1112",168732598,16689554.83,185422152.83
"381","ME","Private","1213",170961808,16424967.86,187386775.86
"382","ME","Private","1314",197353539,17131244.6,214484783.6
"383","ME","Private","1415",204625559,16553267.6,221178826.6
"384","ME","Private","1516",171419653,15547613.64,186967266.64
"385","ME","Proprietary","1314",23463005,13096837.42,36559842.42
"386","ME","Proprietary","1415",19544971,11198337.31,30743308.31
"387","ME","Proprietary","1516",9337119,7129078.24,16466197.24
"388","ME","Proprietary","1011",19274837,8524216.21,27799053.21
"389","ME","Proprietary","1112",14995106,13990368.05,28985474.05
"390","ME","Proprietary","1213",14228016,13545253.78,27773269.78
"391","ME","Public","1314",204143288,79106989.35,283250277.35
"392","ME","Public","1415",186857737,76589486.62,263447223.62
"393","ME","Public","1516",162333598,70764263.39,233097861.39
"394","ME","Public","1011",198831089,82102892,280933981
