"","School","Enrollment","Year"
"312","Lincoln Technical Institute-East Windsor",906,"2013-14"
"313","Lincoln Technical Institute-Hartford",396,"2013-14"
"314","Lincoln Technical Institute-New Britain",366,"2013-14"
"315","Lincoln Technical Institute-Shelton",586,"2013-14"
"316","Lyme Academy College of Fine Arts",69,"2013-14"
"317","Manchester Community College",4544,"2013-14"
"318","Marinello Schools of Beauty-East Hartford",184,"2013-14"
"319","Marinello Schools of Beauty-Meriden",618,"2013-14"
"320","Marinello Schools of Beauty-Niantic",342,"2013-14"
"321","Middlesex Community College",1848,"2013-14"
"322","Mitchell College",778,"2013-14"
"323","Naugatuck Valley Community College",4405,"2013-14"
"324","New England Tractor Trailer Training School of Connecticut",224,"2013-14"
"325","New England Tractor Trailer Training School of CT-Bridgeport",365,"2013-14"
"326","Northwestern Connecticut Community College",822,"2013-14"
"327","Norwalk Community College",3975,"2013-14"
"328","Norwich Technical High School",50,"2013-14"
"329","Oxford Academy of Hair Design Inc",117,"2013-14"
"330","Paier College of Art Inc",131,"2013-14"
"331","Paul Mitchell the School-Danbury",138,"2013-14"
"332","Paul Mitchell the School-North Haven",168,"2013-14"
"333","Platt Technical High School",16,"2013-14"
"334","Porter and Chester Institute of Branford",364,"2013-14"
"335","Porter and Chester Institute of Stratford",3152,"2013-14"
"336","Post University",7146,"2013-14"
"337","Quinebaug Valley Community College",1072,"2013-14"
"338","Quinnipiac University",8873,"2013-14"
"339","Rensselaer Hartford Graduate Center Inc",117,"2013-14"
"340","Ricci's Academy of Cosmetology",79,"2013-14"
"341","Ridley-Lowell Business & Technical Institute-Danbury",249,"2013-14"
"342","Ridley-Lowell Business & Technical Institute-New London",267,"2013-14"
"343","Sacred Heart University",6519,"2013-14"
"344","Southern Connecticut State University",8836,"2013-14"
"345","St Vincent's College",490,"2013-14"
"346","Stone Academy-East Hartford",312,"2013-14"
"347","Stone Academy-Hamden",384,"2013-14"
"348","Stone Academy-Waterbury",204,"2013-14"
"349","Three Rivers Community College",2771,"2013-14"
"350","Trinity College",2371,"2013-14"
"351","Tunxis Community College",2691,"2013-14"
"352","University of Bridgeport",4155,"2013-14"
"353","University of Connecticut",24161,"2013-14"
"354","University of Connecticut-Avery Point",589,"2013-14"
"355","University of Connecticut-Stamford",1133,"2013-14"
"356","University of Connecticut-Tri-Campus",2120,"2013-14"
"357","University of Hartford",6366,"2013-14"
"358","University of New Haven",6392,"2013-14"
"359","University of Phoenix-Connecticut",17,"2013-14"
"360","University of Saint Joseph",1969,"2013-14"
"361","Vinal Technical High School",40,"2013-14"
"362","W F Kaynor Technical High School",41,"2013-14"
"363","Wesleyan University",3262,"2013-14"
"364","Western Connecticut State University",5117,"2013-14"
"365","Windham Memorial Hospital-Radiologic Technology Program",24,"2013-14"
"366","Windham Technical High School",19,"2013-14"
"367","Yale University",14111,"2013-14"
"368","Yale-New Haven Hospital Dietetic Internship",10,"2013-14"
